Date,Close/Last,Volume,Open,High,Low
5/25/2023,$184.47 ,96870720,$186.54 ,$186.78 ,$180.58 
5/24/2023,$182.90 ,137605100,$182.23 ,$184.22 ,$178.22 
5/23/2023,$185.77 ,156952100,$186.20 ,$192.96 ,$185.26 
5/22/2023,$188.87 ,132001400,$180.70 ,$189.32 ,$180.11 
5/19/2023,$180.14 ,136196700,$177.17 ,$181.95 ,$176.31 
5/18/2023,$176.89 ,109520300,$174.22 ,$177.06 ,$172.45 
5/17/2023,$173.86 ,125473600,$168.41 ,$174.50 ,$167.19 
5/16/2023,$166.52 ,98288790,$165.65 ,$169.52 ,$164.35 
5/15/2023,$166.35 ,105592500,$167.66 ,$169.76 ,$164.55 
5/12/2023,$167.98 ,157849600,$176.07 ,$177.38 ,$167.23 
5/11/2023,$172.08 ,103889900,$168.70 ,$173.57 ,$166.79 
5/10/2023,$168.54 ,119840700,$172.55 ,$174.43 ,$166.68 
5/9/2023,$169.15 ,88965040,$168.95 ,$169.82 ,$166.56 
5/8/2023,$171.79 ,112249400,$173.72 ,$173.80 ,$169.19 
5/5/2023,$170.06 ,107607300,$163.97 ,$170.79 ,$163.51 
5/4/2023,$161.20 ,95108490,$162.71 ,$162.95 ,$159.65 
5/3/2023,$160.61 ,119728000,$160.01 ,$165.00 ,$159.91 
5/2/2023,$160.31 ,128259700,$161.88 ,$165.49 ,$158.93 
5/1/2023,$161.83 ,109015000,$163.17 ,$163.28 ,$158.83 
4/28/2023,$164.31 ,122515800,$160.90 ,$165.00 ,$157.32 
4/27/2023,$160.19 ,127015200,$152.64 ,$160.48 ,$152.37 
4/26/2023,$153.75 ,153364100,$160.29 ,$160.67 ,$153.14 
4/25/2023,$160.67 ,121999300,$159.82 ,$163.47 ,$158.75 
4/24/2023,$162.55 ,140006600,$164.65 ,$165.65 ,$158.61 
4/21/2023,$165.08 ,123539000,$164.80 ,$166.00 ,$161.32 
4/20/2023,$162.99 ,210970800,$166.17 ,$169.70 ,$160.56 
4/19/2023,$180.59 ,125732700,$179.10 ,$183.50 ,$177.65 
4/18/2023,$184.31 ,92067020,$187.15 ,$187.69 ,$183.58 
4/17/2023,$187.04 ,116662200,$186.32 ,$189.69 ,$182.69 
4/14/2023,$185.00 ,96438660,$183.95 ,$186.28 ,$182.01 
4/13/2023,$185.90 ,112933000,$182.96 ,$186.50 ,$180.94 
4/12/2023,$180.54 ,150256300,$190.74 ,$191.58 ,$180.31 
4/11/2023,$186.79 ,115770900,$186.69 ,$189.19 ,$185.65 
4/10/2023,$184.51 ,142154600,$179.94 ,$185.10 ,$176.11 
4/6/2023,$185.06 ,123857900,$183.08 ,$186.39 ,$179.74 
4/5/2023,$185.52 ,133882500,$190.52 ,$190.68 ,$183.76 
4/4/2023,$192.58 ,126463800,$197.32 ,$198.74 ,$190.32 
4/3/2023,$194.77 ,169545900,$199.91 ,$202.69 ,$192.20 
3/31/2023,$207.46 ,170222100,$197.53 ,$207.79 ,$197.20 
3/30/2023,$195.28 ,110252200,$195.58 ,$197.33 ,$194.42 
3/29/2023,$193.88 ,123660000,$193.13 ,$195.29 ,$189.44 
3/28/2023,$189.19 ,98654640,$192.00 ,$192.35 ,$185.43 
3/27/2023,$191.81 ,120851600,$194.42 ,$197.39 ,$189.94 
3/24/2023,$190.41 ,116531600,$191.65 ,$192.36 ,$187.15 
3/23/2023,$192.22 ,144193900,$195.26 ,$199.31 ,$188.65 
3/22/2023,$191.15 ,150376400,$199.30 ,$200.66 ,$190.95 
3/21/2023,$197.58 ,153391400,$188.28 ,$198.00 ,$188.04 
3/20/2023,$183.25 ,129684400,$178.08 ,$186.44 ,$176.35 
3/17/2023,$180.13 ,133197100,$184.52 ,$186.22 ,$177.33 
3/16/2023,$184.13 ,121374500,$180.37 ,$185.81 ,$178.84 
3/15/2023,$180.45 ,145995600,$180.80 ,$182.34 ,$176.03 
3/14/2023,$183.26 ,143717900,$177.31 ,$183.80 ,$177.14 
3/13/2023,$174.48 ,167790300,$167.46 ,$177.35 ,$163.91 
3/10/2023,$173.44 ,191488900,$175.13 ,$178.29 ,$168.44 
3/9/2023,$172.92 ,170023800,$180.25 ,$185.18 ,$172.51 
3/8/2023,$182.00 ,151897800,$185.04 ,$186.50 ,$180.00 
3/7/2023,$187.71 ,148125800,$191.38 ,$194.20 ,$186.10 
3/6/2023,$193.81 ,128100100,$198.54 ,$198.60 ,$192.30 
3/3/2023,$197.79 ,154193300,$194.80 ,$200.48 ,$192.88 
3/2/2023,$190.90 ,181979200,$186.74 ,$193.75 ,$186.01 
3/1/2023,$202.77 ,156852800,$206.21 ,$207.20 ,$198.52 
2/28/2023,$205.71 ,153144900,$210.59 ,$211.23 ,$203.75 
2/27/2023,$207.63 ,161028300,$202.03 ,$209.42 ,$201.26 
2/24/2023,$196.88 ,142228100,$196.33 ,$197.67 ,$192.80 
2/23/2023,$202.07 ,146360000,$203.91 ,$205.14 ,$196.33 
2/22/2023,$200.86 ,191828500,$197.93 ,$201.99 ,$191.78 
2/21/2023,$197.37 ,180018600,$204.99 ,$209.71 ,$197.22 
2/17/2023,$208.31 ,213738500,$199.99 ,$208.44 ,$197.50 
2/16/2023,$202.04 ,229586500,$210.78 ,$217.65 ,$201.84 
2/15/2023,$214.24 ,182108600,$211.76 ,$214.66 ,$206.11 
2/14/2023,$209.25 ,216455700,$191.94 ,$209.82 ,$189.44 
2/13/2023,$194.64 ,172475500,$194.42 ,$196.30 ,$187.61 
2/10/2023,$196.89 ,204754100,$202.23 ,$206.20 ,$192.89 
2/9/2023,$207.32 ,215431400,$207.78 ,$214.00 ,$204.77 
2/8/2023,$201.29 ,180673600,$196.10 ,$203.00 ,$194.31 
2/7/2023,$196.81 ,186010300,$196.43 ,$197.50 ,$189.55 
2/6/2023,$194.76 ,186188100,$193.01 ,$198.17 ,$189.92 
2/3/2023,$189.98 ,232662000,$183.95 ,$199.00 ,$183.69 
2/2/2023,$188.27 ,217448300,$187.33 ,$196.75 ,$182.61 
2/1/2023,$181.41 ,213806300,$173.89 ,$183.81 ,$169.93 
1/31/2023,$173.22 ,196813500,$164.57 ,$174.30 ,$162.78 
1/30/2023,$166.66 ,230878800,$178.05 ,$179.77 ,$166.50 
1/27/2023,$177.90 ,306590600,$162.43 ,$180.68 ,$161.17 
1/26/2023,$160.27 ,234815100,$159.97 ,$161.42 ,$154.76 
1/25/2023,$144.43 ,192734300,$141.91 ,$146.41 ,$138.07 
1/24/2023,$143.89 ,158699100,$143.00 ,$146.50 ,$141.10 
1/23/2023,$143.75 ,203119200,$135.87 ,$145.38 ,$134.27 
1/20/2023,$133.42 ,138858100,$128.68 ,$133.51 ,$127.35 
1/19/2023,$127.17 ,170291900,$127.26 ,$129.99 ,$124.31 
1/18/2023,$128.78 ,195680300,$136.56 ,$136.68 ,$127.01 
1/17/2023,$131.49 ,186477000,$125.70 ,$131.70 ,$125.02 
1/13/2023,$122.40 ,180714100,$116.55 ,$122.63 ,$115.60 
1/12/2023,$123.56 ,169400900,$122.56 ,$124.13 ,$117.00 
1/11/2023,$123.22 ,183810800,$122.09 ,$125.95 ,$120.51 
1/10/2023,$118.85 ,167642500,$121.07 ,$122.76 ,$114.92 
1/9/2023,$119.77 ,190284000,$118.96 ,$123.52 ,$117.11 
